"source_code","11","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\IAUSER\\Procedures\\SQL180121055539450.sql","d57ed066ad0736388dcee02b87e7d717","DB2","db2dict"
"node_attribute","39","error","Error while parsing script"
"node_attribute","40","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","41","OBJECT_SOURCE_TYPE","SCRIPT"
"node_attribute","41","sourceLocation","4"
"node_attribute","41","sourceEncoding","utf8"
"node_attribute","41","CONNECTION","db2dict"
"node_attribute","42","NODE_SCRIPT_POSITION","1,1"
"node_attribute","42","NODE_SCRIPT_STOP_POSITION","220,4"
"node_attribute","43","NODE_SCRIPT_POSITION","2,1"
"node_attribute","43","NODE_SCRIPT_STOP_POSITION","220,4"
"node_attribute","44","NODE_SCRIPT_POSITION","115,5"
"node_attribute","44","NODE_SCRIPT_STOP_POSITION","219,10"
"node_attribute","45","NODE_SCRIPT_POSITION","179,7"
"node_attribute","45","NODE_SCRIPT_STOP_POSITION","219,10"
"node_attribute","65","NODE_SCRIPT_POSITION","163,7"
"node_attribute","65","NODE_SCRIPT_STOP_POSITION","178,43"
"node_attribute","81","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","82","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","83","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","84","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","85","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","86","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","87","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","88","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","89","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","90","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","91","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","92","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","93","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","94","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","95","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","96","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","97","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","98","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","99","NODE_SCRIPT_POSITION","7,5"
"node_attribute","99","NODE_SCRIPT_STOP_POSITION","111,10"
"node_attribute","100","NODE_SCRIPT_POSITION","71,7"
"node_attribute","100","NODE_SCRIPT_STOP_POSITION","111,10"
"node_attribute","120","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","121","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","122","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","123","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","124","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","125","NODE_SCRIPT_POSITION","55,7"
"node_attribute","125","NODE_SCRIPT_STOP_POSITION","70,43"
"node_attribute","141","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","142","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","143","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","144","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","145","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","146","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","147","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","148","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","149","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","150","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","151","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","152","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","153","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","154","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","155","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","156","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","156","ORDER","1"
"node_attribute","156","PARAMETER_TYPE","IN"
"edge","0","140","155","DIRECT","2"
"edge","1","139","154","DIRECT","2"
"edge","2","138","153","DIRECT","2"
"edge","3","137","152","DIRECT","2"
"edge","4","136","151","DIRECT","2"
"edge","5","135","150","DIRECT","2"
"edge","6","134","149","DIRECT","2"
"edge","7","133","148","DIRECT","2"
"edge","8","132","147","DIRECT","2"
"edge","9","131","146","DIRECT","2"
"edge","10","130","145","DIRECT","2"
"edge","11","129","144","DIRECT","2"
"edge","12","128","143","DIRECT","2"
"edge","13","127","142","DIRECT","2"
"edge","14","126","141","DIRECT","2"
"edge","15","119","124","DIRECT","2"
"edge","16","118","123","DIRECT","2"
"edge","17","117","155","DIRECT","2"
"edge","18","116","154","DIRECT","2"
"edge","19","115","153","DIRECT","2"
"edge","20","114","152","DIRECT","2"
"edge","21","113","151","DIRECT","2"
"edge","22","112","150","DIRECT","2"
"edge","23","111","149","DIRECT","2"
"edge","24","110","148","DIRECT","2"
"edge","25","109","147","DIRECT","2"
"edge","26","108","146","DIRECT","2"
"edge","27","107","145","DIRECT","2"
"edge","28","106","144","DIRECT","2"
"edge","29","105","143","DIRECT","2"
"edge","30","104","142","DIRECT","2"
"edge","31","103","141","DIRECT","2"
"edge","32","102","122","DIRECT","2"
"edge","33","101","121","DIRECT","2"
"edge","34","80","155","DIRECT","2"
"edge","35","79","154","DIRECT","2"
"edge","36","78","153","DIRECT","2"
"edge","37","77","152","DIRECT","2"
"edge","38","76","151","DIRECT","2"
"edge","39","75","150","DIRECT","2"
"edge","40","74","149","DIRECT","2"
"edge","41","73","148","DIRECT","2"
"edge","42","72","147","DIRECT","2"
"edge","43","71","146","DIRECT","2"
"edge","44","70","145","DIRECT","2"
"edge","45","69","144","DIRECT","2"
"edge","46","68","143","DIRECT","2"
"edge","47","67","142","DIRECT","2"
"edge","48","66","141","DIRECT","2"
"edge","49","64","124","DIRECT","2"
