"source_code","5","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\DWH\\Procedures\\SQL180710124951056.sql","15dba04a2d0401391cd85e8485b9b5c5","DB2","db2dict"
"edge","80","31","80","FILTER","2"
"edge","81","41","80","DIRECT","2"
"edge","82","30","80","FILTER","2"
"edge","83","42","62","FILTER","2"
"edge","84","33","62","FILTER","2"
"edge","85","31","62","FILTER","2"
"edge","86","41","62","DIRECT","2"
"edge","87","30","62","FILTER","2"
"edge","88","31","79","FILTER","2"
"edge","89","30","79","FILTER","2"
"edge","90","33","79","FILTER","2"
"edge","91","42","79","FILTER","2"
"edge","92","40","79","DIRECT","2"
"edge","93","31","61","FILTER","2"
"edge","94","30","61","FILTER","2"
"edge","95","33","61","FILTER","2"
"edge","96","42","61","FILTER","2"
"edge","97","40","61","DIRECT","2"
"edge","98","42","60","FILTER","2"
"edge","99","33","60","FILTER","2"
"edge","100","39","60","DIRECT","2"
"edge","101","30","60","FILTER","2"
"edge","102","31","60","FILTER","2"
"edge","103","42","78","FILTER","2"
"edge","104","33","78","FILTER","2"
"edge","105","39","78","DIRECT","2"
"edge","106","30","78","FILTER","2"
"edge","107","31","78","FILTER","2"
"edge","108","30","77","FILTER","2"
"edge","109","33","77","FILTER","2"
"edge","110","38","77","DIRECT","2"
"edge","111","42","77","FILTER","2"
"edge","112","31","77","FILTER","2"
"edge","113","30","59","FILTER","2"
"edge","114","33","59","FILTER","2"
"edge","115","38","59","DIRECT","2"
"edge","116","42","59","FILTER","2"
"edge","117","31","59","FILTER","2"
"edge","118","31","76","FILTER","2"
"edge","119","42","76","FILTER","2"
"edge","120","37","76","DIRECT","2"
"edge","121","33","76","FILTER","2"
"edge","122","30","76","FILTER","2"
"edge","123","31","58","FILTER","2"
"edge","124","42","58","FILTER","2"
"edge","125","37","58","DIRECT","2"
"edge","126","33","58","FILTER","2"
"edge","127","30","58","FILTER","2"
"edge","128","36","75","DIRECT","2"
"edge","129","31","75","FILTER","2"
"edge","130","30","75","FILTER","2"
"edge","131","42","75","FILTER","2"
"edge","132","33","75","FILTER","2"
"edge","133","36","57","DIRECT","2"
"edge","134","31","57","FILTER","2"
"edge","135","30","57","FILTER","2"
"edge","136","42","57","FILTER","2"
"edge","137","33","57","FILTER","2"
"edge","138","42","55","FILTER","2"
"edge","139","31","55","FILTER","2"
"edge","140","35","55","DIRECT","2"
"edge","141","33","55","FILTER","2"
"edge","142","30","55","FILTER","2"
"edge","143","42","74","FILTER","2"
"edge","144","31","74","FILTER","2"
"edge","145","35","74","DIRECT","2"
"edge","146","33","74","FILTER","2"
"edge","147","30","74","FILTER","2"
"edge","148","30","54","FILTER","2"
"edge","149","34","54","DIRECT","2"
"edge","150","42","54","FILTER","2"
"edge","151","33","54","FILTER","2"
"edge","152","31","54","FILTER","2"
"edge","153","92","80","FILTER","2"
"edge","154","91","80","FILTER","2"
"edge","155","44","80","FILTER","2"
"edge","156","47","80","FILTER","2"
"edge","157","97","80","FILTER","2"
"edge","158","93","80","FILTER","2"
"edge","159","95","80","FILTER","2"
"edge","160","40","80","FILTER","2"
"edge","161","36","80","FILTER","2"
"edge","162","90","80","FILTER","2"
"edge","163","46","80","FILTER","2"
"edge","164","35","80","FILTER","2"
"edge","165","87","80","FILTER","2"
"edge","166","86","80","FILTER","2"
"edge","167","38","80","FILTER","2"
"edge","168","43","80","FILTER","2"
"edge","169","37","80","FILTER","2"
"edge","170","41","80","FILTER","2"
"edge","171","88","80","FILTER","2"
"edge","172","94","80","FILTER","2"
"edge","173","45","80","FILTER","2"
"edge","174","89","80","FILTER","2"
"edge","175","96","80","FILTER","2"
"edge","176","39","80","FILTER","2"
"edge","177","92","74","FILTER","2"
"edge","178","91","74","FILTER","2"
"edge","179","44","74","FILTER","2"
"edge","180","47","74","FILTER","2"
"edge","181","97","74","FILTER","2"
"edge","182","93","74","FILTER","2"
"edge","183","95","74","FILTER","2"
"edge","184","40","74","FILTER","2"
"edge","185","36","74","FILTER","2"
"edge","186","90","74","FILTER","2"
"edge","187","46","74","FILTER","2"
"edge","188","35","74","FILTER","2"
"edge","189","87","74","FILTER","2"
"edge","190","86","74","FILTER","2"
"edge","191","38","74","FILTER","2"
"edge","192","43","74","FILTER","2"
"edge","193","37","74","FILTER","2"
"edge","194","41","74","FILTER","2"
"edge","195","88","74","FILTER","2"
"edge","196","94","74","FILTER","2"
"edge","197","45","74","FILTER","2"
"edge","198","89","74","FILTER","2"
"edge","199","96","74","FILTER","2"
